>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from observation
Created Branches
Searching for crossing at nll = -20431 in the interval 19.9999, 20
      r      lvl-here  lvl-there   stepping
9.923829    +0.40971  +0.41141    0.099764
10.023593    +0.40812  +0.40971    0.099764
10.123357    +0.40672  +0.40812    0.099764
10.223121    +0.40530  +0.40672    0.099764
10.322885    +0.40387  +0.40530    0.099764
10.422649    +0.40241  +0.40387    0.099764
10.522413    +0.40093  +0.40241    0.099764
10.622177    +0.39943  +0.40093    0.099764
10.721941    +0.39790  +0.39943    0.099764
10.821705    +0.39636  +0.39790    0.099764
10.921469    +0.39479  +0.39636    0.099764
11.021233    +0.39321  +0.39479    0.099764
11.120998    +0.39160  +0.39321    0.099764
11.220762    +0.38997  +0.39160    0.099764
11.320526    +0.38832  +0.38997    0.099764
11.420290    +0.38665  +0.38832    0.099764
11.520054    +0.38496  +0.38665    0.099764
11.619818    +0.38325  +0.38496    0.099764
11.719582    +0.38151  +0.38325    0.099764
11.819346    +0.37976  +0.38151    0.099764
11.919110    +0.37798  +0.37976    0.099764
12.018874    +0.37619  +0.37798    0.099764
12.118638    +0.37437  +0.37619    0.099764
12.218402    +0.37253  +0.37437    0.099764
12.318166    +0.37067  +0.37253    0.099764
12.417930    +0.36879  +0.37067    0.099764
12.517695    +0.36689  +0.36879    0.099764
12.617459    +0.36497  +0.36689    0.099764
12.717223    +0.36303  +0.36497    0.099764
12.816987    +0.36107  +0.36303    0.099764
12.916751    +0.35908  +0.36107    0.099764
13.016515    +0.35708  +0.35908    0.099764
13.116279    +0.35505  +0.35708    0.099764
13.216043    +0.35300  +0.35505    0.099764
13.315807    +0.35094  +0.35300    0.099764
13.415571    +0.34885  +0.35094    0.099764
13.515335    +0.34674  +0.34885    0.099764
13.615099    +0.34461  +0.34674    0.099764
13.714863    +0.34271  +0.34461    0.099764
13.814627    +0.34086  +0.34271    0.099764
13.914391    +0.33898  +0.34086    0.099764
14.014156    +0.33708  +0.33898    0.099764
14.113920    +0.33516  +0.33708    0.099764
14.213684    +0.33322  +0.33516    0.099764
14.313448    +0.33126  +0.33322    0.099764
14.413212    +0.32928  +0.33126    0.099764
14.512976    +0.32728  +0.32928    0.099764
14.612740    +0.32526  +0.32728    0.099764
14.712504    +0.32322  +0.32526    0.099764
14.812268    +0.32116  +0.32322    0.099764
14.912032    +0.31907  +0.32116    0.099764
15.011796    +0.31697  +0.31907    0.099764
15.111560    +0.31485  +0.31697    0.099764
15.211324    +0.31270  +0.31485    0.099764
15.311088    +0.31054  +0.31270    0.099764
15.410852    +0.30835  +0.31054    0.099764
15.510617    +0.30615  +0.30835    0.099764
15.610381    +0.30392  +0.30615    0.099764
15.710145    +0.30167  +0.30392    0.099764
15.809909    +0.29941  +0.30167    0.099764
15.909673    +0.29712  +0.29941    0.099764
16.009437    +0.29481  +0.29712    0.099764
16.109201    +0.29249  +0.29481    0.099764
16.208965    +0.29027  +0.29249    0.099764
16.308729    +0.28818  +0.29027    0.099764
16.408493    +0.28606  +0.28818    0.099764
16.508257    +0.28392  +0.28606    0.099764
16.608021    +0.28176  +0.28392    0.099764
16.707785    +0.27958  +0.28176    0.099764
16.807549    +0.27738  +0.27958    0.099764
16.907313    +0.27516  +0.27738    0.099764
17.007078    +0.27292  +0.27516    0.099764
17.106842    +0.27066  +0.27292    0.099764
17.206606    +0.26838  +0.27066    0.099764
17.306370    +0.26608  +0.26838    0.099764
17.406134    +0.26376  +0.26608    0.099764
17.505898    +0.26142  +0.26376    0.099764
17.605662    +0.25906  +0.26142    0.099764
17.705426    +0.25668  +0.25906    0.099764
17.805190    +0.25428  +0.25668    0.099764
17.904954    +0.25186  +0.25428    0.099764
18.004718    +0.24942  +0.25186    0.099764
18.104482    +0.24696  +0.24942    0.099764
18.204246    +0.24448  +0.24696    0.099764
18.304010    +0.24198  +0.24448    0.099764
18.403774    +0.23946  +0.24198    0.099764
18.503539    +0.23692  +0.23946    0.099764
18.603303    +0.23436  +0.23692    0.099764
18.703067    +0.23178  +0.23436    0.099764
18.802831    +0.22918  +0.23178    0.099764
18.902595    +0.22656  +0.22918    0.099764
19.002359    +0.22392  +0.22656    0.099764
19.102123    +0.22126  +0.22392    0.099764
19.201887    +0.21858  +0.22126    0.099764
19.301651    +0.21589  +0.21858    0.099764
19.401415    +0.21317  +0.21589    0.099764
19.501179    +0.21043  +0.21317    0.099764
19.600943    +0.20767  +0.21043    0.099764
19.700707    +0.20490  +0.20767    0.099764
19.800471    +0.20210  +0.20490    0.099764
19.900235    +0.19928  +0.20210    0.099764
20.000000    +0.19644  +0.19928    0.099764
20.000000    +0.19644  +0.19644    0.000000
Error: closed range without finding crossing.
Searching for crossing at nll = -24917.2 in the interval 0.0471861, -20
      r      lvl-here  lvl-there   stepping
-0.053050    +0.49446  +0.49447    -0.100236
-0.153286    +0.49442  +0.49446    -0.100236
-0.253522    +0.49436  +0.49442    -0.100236
-0.266051    +0.49435  +0.49436    -0.012529
-0.267617    +0.49435  +0.49435    -0.001566
-0.268400    +0.49435  +0.49435    -0.000783
-0.269184    +0.49435  +0.49435    -0.000783
Error: minimization failed at r = -0.269233

 --- MaxLikelihoodFit ---
Best fit r: 0.0471861  -20.0472/+19.9528  (68% CL)
nll S+B -> 1.23746e-05  nll B -> 0
Done in 3.55 min (cpu), 3.57 min (real)
