>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from observation
Created Branches
Searching for crossing at nll = -20622.5 in the interval 9.80906, 20
      r      lvl-here  lvl-there   stepping
0.270161    +0.13822  +0.14911    -0.149045
0.121116    +0.12699  +0.13822    -0.149045
-0.027929    +0.11543  +0.12699    -0.149045
-0.176975    +0.10569  +0.11543    -0.149045
-0.326020    +0.10020  +0.10569    -0.149045
-0.475065    +0.08960  +0.10020    -0.149045
-0.624111    +0.07866  +0.08960    -0.149045
-0.773156    +0.06739  +0.07866    -0.149045
-0.922201    +0.05671  +0.06739    -0.149045
-1.071246    +0.04569  +0.05671    -0.149045
-1.220292    +0.03433  +0.04569    -0.149045
-1.369337    +0.02264  +0.03433    -0.149045
-1.518382    +0.01061  +0.02264    -0.149045
-1.667428    -0.00176  +0.01061    -0.149045
-1.563096    +0.00693  -0.00176    -0.044714
-1.607810    +0.00323  +0.00693    -0.044714
-1.652523    -0.00051  +0.00323    -0.044714
-1.621224    +0.00211  -0.00051    -0.013414
-1.634638    +0.00099  +0.00211    -0.013414
-1.648052    -0.00013  +0.00099    -0.013414

 --- MaxLikelihoodFit ---
Best fit r: 9.80906  -11.4572/+10.1909  (68% CL)
nll S+B -> -60.69  nll B -> -60.9283
Done in 4.56 min (cpu), 4.57 min (real)
>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from expected outcome
Created Branches
Searching for crossing at nll = -25083.9 in the interval 0.0601216, 20
      r      lvl-here  lvl-there   stepping
0.159821    +0.49437  +0.49447    0.099699
0.259520    +0.49411  +0.49437    0.099699
0.359220    +0.49368  +0.49411    0.099699
0.458919    +0.49309  +0.49368    0.099699
0.558619    +0.49234  +0.49309    0.099699
0.658318    +0.49147  +0.49234    0.099699
0.758017    +0.49067  +0.49147    0.099699
0.857717    +0.48971  +0.49067    0.099699
0.957416    +0.48859  +0.48971    0.099699
1.057116    +0.48731  +0.48859    0.099699
1.156815    +0.48588  +0.48731    0.099699
1.256514    +0.48428  +0.48588    0.099699
1.356214    +0.48253  +0.48428    0.099699
1.455913    +0.48062  +0.48253    0.099699
1.555612    +0.47855  +0.48062    0.099699
1.655312    +0.47633  +0.47855    0.099699
1.755011    +0.47477  +0.47633    0.099699
1.854711    +0.47281  +0.47477    0.099699
1.954410    +0.47068  +0.47281    0.099699
2.054109    +0.46841  +0.47068    0.099699
2.153809    +0.46598  +0.46841    0.099699
2.253508    +0.46339  +0.46598    0.099699
2.353208    +0.46066  +0.46339    0.099699
2.452907    +0.45777  +0.46066    0.099699
2.552606    +0.45473  +0.45777    0.099699
2.652306    +0.45154  +0.45473    0.099699
2.752005    +0.44820  +0.45154    0.099699
2.851705    +0.44578  +0.44820    0.099699
2.951404    +0.44287  +0.44578    0.099699
3.051103    +0.43981  +0.44287    0.099699
3.150803    +0.43661  +0.43981    0.099699
3.250502    +0.43325  +0.43661    0.099699
3.350201    +0.42975  +0.43325    0.099699
3.449901    +0.42609  +0.42975    0.099699
3.549600    +0.42230  +0.42609    0.099699
3.649300    +0.41835  +0.42230    0.099699
3.748999    +0.41425  +0.41835    0.099699
3.848698    +0.41001  +0.41425    0.099699
3.948398    +0.40563  +0.41001    0.099699
4.048097    +0.40110  +0.40563    0.099699
4.147797    +0.39642  +0.40110    0.099699
4.247496    +0.39207  +0.39642    0.099699
4.347195    +0.38782  +0.39207    0.099699
4.446895    +0.38342  +0.38782    0.099699
4.546594    +0.37888  +0.38342    0.099699
4.646294    +0.37419  +0.37888    0.099699
4.745993    +0.36936  +0.37419    0.099699
4.845692    +0.36439  +0.36936    0.099699
4.945392    +0.35927  +0.36439    0.099699
5.045091    +0.35401  +0.35927    0.099699
5.144790    +0.34861  +0.35401    0.099699
5.244490    +0.34307  +0.34861    0.099699
5.344189    +0.33790  +0.34307    0.099699
5.443889    +0.33285  +0.33790    0.099699
5.543588    +0.32766  +0.33285    0.099699
5.643287    +0.32233  +0.32766    0.099699
5.742987    +0.31686  +0.32233    0.099699
5.842686    +0.31125  +0.31686    0.099699
5.942386    +0.30550  +0.31125    0.099699
6.042085    +0.29961  +0.30550    0.099699
6.141784    +0.29358  +0.29961    0.099699
6.241484    +0.28742  +0.29358    0.099699
6.341183    +0.28111  +0.28742    0.099699
6.440883    +0.27467  +0.28111    0.099699
6.540582    +0.26809  +0.27467    0.099699
6.640281    +0.26137  +0.26809    0.099699
6.739981    +0.25452  +0.26137    0.099699
6.839680    +0.24753  +0.25452    0.099699
6.939380    +0.24040  +0.24753    0.099699
7.039079    +0.23313  +0.24040    0.099699
7.138778    +0.22573  +0.23313    0.099699
7.238478    +0.21843  +0.22573    0.099699
7.338177    +0.21168  +0.21843    0.099699
7.437876    +0.20479  +0.21168    0.099699
7.537576    +0.19777  +0.20479    0.099699
7.637275    +0.19061  +0.19777    0.099699
7.736975    +0.18332  +0.19061    0.099699
7.836674    +0.17590  +0.18332    0.099699
7.936373    +0.16834  +0.17590    0.099699
